level_code	admin_code	display_name	territory_name	territory_wikidata_id	territory_type	parent_level_code	parent_admin_code	source
municipality	GM1509	Oude IJsselstreek	Oude IJsselstreek	Q932031	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0437	Ouder-Amstel	Ouder-Amstel	Q9953	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0589	Oudewater	Oudewater	Q10051	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM1734	Overbetuwe	Overbetuwe	Q600871	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0590	Papendrecht	Papendrecht	Q934511	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM1894	Peel en Maas	Peel en Maas	Q9785	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0765	Pekela	Pekela	Q932077	municipality	province	PV20	seed.nl_admin_municipality
municipality	GM1926	Pijnacker-Nootdorp	Pijnacker-Nootdorp	Q281768	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0439	Purmerend	Purmerend	Q110423208	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0273	Putten	Putten	Q939948	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0177	Raalte	Raalte	Q10019	municipality	province	PV23	seed.nl_admin_municipality
municipality	GM0703	Reimerswaal	Reimerswaal	Q10078	municipality	province	PV29	seed.nl_admin_municipality
municipality	GM0274	Renkum	Renkum	Q691725	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0339	Renswoude	Renswoude	Q10039	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM1667	Reusel-De Mierden	Reusel-De Mierden	Q9860	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0275	Rheden	Rheden	Q843899	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0340	Rhenen	Rhenen	Q10040	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0597	Ridderkerk	Ridderkerk	Q222220	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM1742	Rijssen-Holten	Rijssen-Holten	Q10020	municipality	province	PV23	seed.nl_admin_municipality
municipality	GM0603	Rijswijk (ZH.)	Rijswijk	Q506745	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM1669	Roerdalen	Roerdalen	Q9784	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0957	Roermond	Roermond	Q8167972	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0736	De Ronde Venen	De Ronde Venen	Q10036	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM1674	Roosendaal	Roosendaal	Q9861	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0599	Rotterdam	Rotterdam	Q2680952	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0277	Rozendaal	Rozendaal	Q372592	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0840	Rucphen	Rucphen	Q9862	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0441	Schagen	Schagen	Q9955	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0279	Scherpenzeel	Scherpenzeel	Q939964	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0606	Schiedam	Schiedam	Q204709	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0088	Schiermonnikoog	Schiermonnikoog	Q208011	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM1676	Schouwen-Duiveland	Schouwen-Duiveland	Q10079	municipality	province	PV29	seed.nl_admin_municipality
municipality	GM0965	Simpelveld	Simpelveld	Q9769	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0845	Sint-Michielsgestel	Sint-Michielsgestel	Q9866	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM1883	Sittard-Geleen	Sittard-Geleen	Q9781	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0610	Sliedrecht	Sliedrecht	Q750760	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM1714	Sluis	Sluis	Q10080	municipality	province	PV29	seed.nl_admin_municipality
municipality	GM0090	Smallingerland	Smallingerland	Q507065	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM0342	Soest	Soest	Q10041	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0847	Someren	Someren	Q9868	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0848	Son en Breugel	Son en Breugel	Q9869	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0037	Stadskanaal	Stadskanaal	Q73074	municipality	province	PV20	seed.nl_admin_municipality
municipality	GM0180	Staphorst	Staphorst	Q10021	municipality	province	PV23	seed.nl_admin_municipality
municipality	GM0532	Stede Broec	Stede Broec	Q9962	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0851	Steenbergen	Steenbergen	Q9870	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM1708	Steenwijkerland	Steenwijkerland	Q10022	municipality	province	PV23	seed.nl_admin_municipality
municipality	GM0971	Stein (L.)	Stein	Q9780	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM1904	Stichtse Vecht	Stichtse Vecht	Q10042	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM1900	Súdwest-Fryslân	Súdwest-Fryslân	Q1473276	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM0715	Terneuzen	Terneuzen	Q10081	municipality	province	PV29	seed.nl_admin_municipality
municipality	GM0093	Terschelling	Terschelling	Q204412	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM0448	Texel	Texel	Q9966	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM1525	Teylingen	Teylingen	Q1368003	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0716	Tholen	Tholen	Q10082	municipality	province	PV29	seed.nl_admin_municipality
municipality	GM0281	Tiel	Tiel	Q73221	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0855	Tilburg	Tilburg	Q26430	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0183	Tubbergen	Tubbergen	Q10023	municipality	province	PV23	seed.nl_admin_municipality
municipality	GM1700	Twenterand	Twenterand	Q10024	municipality	province	PV23	seed.nl_admin_municipality
municipality	GM1730	Tynaarlo	Tynaarlo	Q840457	municipality	province	PV22	seed.nl_admin_municipality
municipality	GM0737	Tytsjerksteradiel	Tietjerksteradeel	Q840636	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM0450	Uitgeest	Uitgeest	Q9967	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0451	Uithoorn	Uithoorn	Q9969	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0184	Urk	Urk	Q273746	municipality	province	PV24	seed.nl_admin_municipality
municipality	GM0344	Utrecht	Utrecht	Q803	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM1581	Utrechtse Heuvelrug	Utrechtse Heuvelrug	Q10043	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0981	Vaals	Vaals	Q9768	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0994	Valkenburg aan de Geul	Valkenburg aan de Geul	Q9771	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0858	Valkenswaard	Valkenswaard	Q9873	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0047	Veendam	Veendam	Q73065	municipality	province	PV20	seed.nl_admin_municipality
municipality	GM0345	Veenendaal	Veenendaal	Q1840	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0717	Veere	Veere	Q10083	municipality	province	PV29	seed.nl_admin_municipality
municipality	GM0861	Veldhoven	Veldhoven	Q9875	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0453	Velsen	Velsen	Q9970	municipality	province	PV27	seed.nl_admin_municipality
municipality	GM0983	Venlo	Venlo	Q9777	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM0984	Venray	Venray	Q9775	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM1961	Vijfheerenlanden	Vijfheerenlanden	Q29032345	municipality	province	PV26	seed.nl_admin_municipality
municipality	GM0622	Vlaardingen	Vlaardingen	Q210007	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0096	Vlieland	Vlieland	Q207851	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM0718	Vlissingen	Vlissingen	Q10084	municipality	province	PV29	seed.nl_admin_municipality
municipality	GM0986	Voerendaal	Voerendaal	Q9770	municipality	province	PV31	seed.nl_admin_municipality
municipality	GM1992	Voorne aan Zee	Voorne aan Zee	Q106436626	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0626	Voorschoten	Voorschoten	Q848324	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0285	Voorst	Voorst	Q384772	municipality	province	PV25	seed.nl_admin_municipality
municipality	GM0865	Vught	Vught	Q9876	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM1949	Waadhoeke	Waadhoeke	Q27526271	municipality	province	PV21	seed.nl_admin_municipality
municipality	GM0866	Waalre	Waalre	Q9877	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0867	Waalwijk	Waalwijk	Q745038	municipality	province	PV30	seed.nl_admin_municipality
municipality	GM0627	Waddinxveen	Waddinxveen	Q826048	municipality	province	PV28	seed.nl_admin_municipality
municipality	GM0289	Wageningen	Wageningen	Q1305	municipality	province	PV25	seed.nl_admin_municipality
